country_id,year,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption
25,2019,6.321,1.149,1.442,0.91,0.516,0.109,0.054
16,2019,6.3,1.004,1.439,0.802,0.39,0.099,0.086
32,2019,6.293,1.124,1.465,0.891,0.523,0.127,0.15
24,2019,6.262,1.572,1.463,1.141,0.556,0.271,0.453
42,2019,6.253,0.794,1.242,0.789,0.43,0.093,0.074
50,2019,6.223,1.294,1.488,1.039,0.231,0.158,0.03
49,2019,6.199,1.362,1.368,0.871,0.536,0.255,0.11
45,2019,6.198,1.246,1.504,0.881,0.334,0.121,0.014
167,2019,6.192,1.231,1.477,0.713,0.489,0.185,0.016
60,2019,6.182,1.206,1.438,0.884,0.483,0.117,0.05
44,2019,6.174,0.745,1.529,0.756,0.631,0.322,0.24
56,2019,6.149,1.238,1.515,0.818,0.291,0.043,0.042
33,2019,6.125,0.985,1.41,0.841,0.47,0.099,0.034
55,2019,6.118,1.258,1.523,0.953,0.564,0.144,0.057
57,2019,6.105,0.694,1.325,0.835,0.435,0.2,0.127
69,2019,6.1,0.882,1.232,0.758,0.489,0.262,0.006
30,2019,6.086,1.092,1.432,0.881,0.471,0.066,0.05
86,2019,6.07,1.162,1.232,0.825,0.462,0.083,0.005
67,2019,6.046,1.263,1.223,1.042,0.406,0.19,0.041
48,2019,6.028,0.912,1.312,0.868,0.498,0.126,0.087
39,2019,6.021,1.5,1.319,0.808,0.493,0.142,0.097
34,2019,6.008,1.05,1.409,0.828,0.557,0.359,0.028
89,2019,5.94,1.187,1.465,0.812,0.264,0.075,0.064
47,2019,5.895,1.301,1.219,1.036,0.159,0.175,0.056
73,2019,5.893,1.237,1.528,0.874,0.495,0.103,0.161
65,2019,5.89,0.831,1.478,0.831,0.49,0.107,0.028
71,2019,5.888,1.12,1.402,0.798,0.498,0.215,0.06
46,2019,5.886,1.327,1.419,1.088,0.445,0.069,0.14
105,2019,5.86,0.642,1.236,0.828,0.507,0.246,0.078
